date,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2018-12-06,14670.0,13269.0,13040.1,14920.0,3558347.55336667,248.8001694,3123,14302.03026769
2018-12-05,15290.99999,14620.0,14512.0,15497.0,2910352.71954873,195.73214869,2802,14869.05824631
2018-12-04,15022.24999,15291.13,14701.00002,15498.9999,2715851.92562591,178.57324682,2541,15208.61592645
2018-12-03,15917.0,15022.24999,14850.0,16200.0,4073818.3048448,266.32569195,3658,15296.37743495
2018-12-02,16440.00001,15942.31,15800.0,16490.0,839710.66689698,51.98580761,947,16152.69061888
2018-12-01,15798.21,16480.0,15385.0,16700.0,1492692.22094485,91.56928047,1341,16301.23348445
2018-11-30,16550.0,15798.26993,15027.0,16694.0,3395518.08780659,216.64841379,2976,15672.94229579
2018-11-29,16066.02005,16629.87,16066.02005,17486.0,4002195.83044564,238.00145533,3585,16815.84604134
2018-11-28,14894.0,16295.999,14830.00003,16999.99,5786553.93542124,356.15490955,4938,16247.29515236
2018-11-27,14603.0,14860.0,14329.0,15100.0,3008460.84751125,205.06634826,3086,14670.67060509
2018-11-26,15153.0,14749.33,14200.0,15790.0,4406496.26858222,295.82245117,3671,14895.74659108
2018-11-25,14989.98996,15153.00001,13900.0,16000.0,3016199.67548953,204.00197996,2255,14785.14902689
2018-11-24,16909.99929,14989.98999,14202.0,16909.99929,3734253.11097273,240.75586672,3073,15510.538380000002
2018-11-23,16989.77993,16900.0,16470.0,17279.99999,3395852.91171385,202.5172081,3106,16768.21907418
2018-11-22,17974.935,16989.99976999,16770.0,18198.0,5025519.29013219,288.99625491,4352,17389.56545197
2018-11-21,15250.88,17974.946,15207.0,18300.0,4850944.15551924,282.00979621,5001,17201.33208389
2018-11-20,18200.0,15473.05,15207.0,19000.0,6422137.86344056,387.1714863,5369,16587.32135678
2018-11-19,21098.99,18176.5,17803.0,21098.99999,5701876.92030029,299.49966922,4654,19038.00740464
2018-11-18,21148.99945,21098.97,20950.0,21297.0,603098.54558003,28.60280878,725,21085.29096631
2018-11-17,21277.39756,20954.00011,20801.0,21400.0,844410.13505402,40.24554444,1209,20981.45637743
2018-11-16,21108.99999,21277.39756,20450.00001,22300.0,3164163.20164159,148.50910923,2789,21306.18935126
2018-11-15,21802.27055,21108.99999,20178.6596,22193.0,2209901.42651519,104.94830486,2187,21057.04736692
2018-11-14,24287.70785,21802.27055,21500.0,24300.0,6488273.70285646,285.8407374,4412,22698.91185436
2018-11-13,24169.9879,24102.0,23956.2,24446.0,1882522.12974222,77.85156651,2234,24180.91522282
2018-11-12,24192.99949,24169.988,24000.0,24310.0,2123138.30511116,88.09365405,2238,24100.92222881
2018-11-11,24130.0,24005.0,24005.0,24296.0,533526.88890613,22.1388001,750,24099.17820732
2018-11-10,24050.51357,24120.0,24000.0,24300.0,577089.62557171,23.88892119,709,24157.20747629
2018-11-09,24410.0,24199.89,24000.01,24446.0,1844257.43586538,76.28669428,1969,24175.34870624
2018-11-08,24740.0,24261.1,24200.0,24800.0,2523867.07233631,103.20317253,2397,24455.32448726
2018-11-07,24500.0,24799.99998,24210.0,24884.00009,2829785.53658018,115.1095446,2770,24583.41353372
2018-11-06,23998.0,24500.0,23600.0,24500.0,3531372.08159815,146.44999609,3297,24113.15927538
2018-11-05,23399.99984,23901.0,23301.0,24229.31,3973046.23348629,166.8952644,2865,23805.62592815
2018-11-04,23499.9928,23390.01,23090.0,23790.0,999292.71810047,42.45445091,1106,23537.99652759
2018-11-03,23689.99,23350.0,23350.0,23689.99,419236.8155588,17.87554743,641,23453.08958878
2018-11-02,23888.0,23694.99,23345.87001,23899.99999,585870.28160728,24.71586351,957,23704.22062616
2018-11-01,23761.0,23888.0,22200.0,23999.99999,2561002.09134904,109.25734102,2289,23440.09169031
2018-10-31,23600.0,23879.9,23270.5151,24000.0,2298921.62522218,97.05828762,2314,23685.98995093
2018-10-30,23120.0,23600.0,23012.0,23699.5151,1763337.05701428,75.38417612,2158,23391.34215922
2018-10-29,23141.0,23108.00001,22200.0,23650.0,3988352.55689351,174.17750700000005,3004,22898.20669492
2018-10-28,23752.99,23150.0,23101.0,23752.99,674503.2991538,28.81544447,620,23407.70068134
2018-10-27,23970.99714,23650.0,23601.0,23994.99,395692.45988236,16.69873746,708,23695.95071664
2018-10-26,23988.00001,23805.66001,23700.0,24149.0,1740916.72408885,72.70763249999997,1775,23944.07112745
2018-10-25,24100.0,23988.0,23903.00017,24396.0,1655602.52845987,68.67367623,1927,24108.25543859
2018-10-24,23911.0,24053.00022,23500.0,24400.0,2875123.36399622,119.48208681,2373,24063.21684495
2018-10-23,24197.76693,23999.88993,23650.0,24300.0,2255178.74651663,94.10336927,2526,23964.90969463
2018-10-22,24011.9999,23998.8,23900.0,24397.98998,3400483.04556912,140.91615515,2731,24131.25054191
2018-10-21,24120.13418,24011.9999,24011.0,24286.89999,334448.87949728,13.87766769,566,24099.79017859
